date,4. close,4. close,4. close
2013-03-26,28.155,461.136,812.42
2013-03-27,28.37,452.08,802.66
2013-03-28,28.605,442.66,794.188
2013-04-01,28.61,428.91,801.19
2013-04-02,28.8,429.792,813.04
2013-04-03,28.56,431.99,806.202
2013-04-04,28.595,427.72,795.07
2013-04-05,28.7,423.2,783.05
2013-04-08,28.59,426.21,774.85
2013-04-09,29.61,426.98,777.65
2013-04-10,30.28,435.69,790.18
2013-04-11,28.935,434.33,790.39
2013-04-12,28.79,429.8,790.05
2013-04-15,28.69,419.85,781.93
2013-04-16,28.97,426.24,793.37
2013-04-17,28.825,402.8,782.56
2013-04-18,28.79,392.05,765.914
2013-04-19,29.765,390.53,799.87
2013-04-22,30.8,398.67,800.114
2013-04-23,30.6,406.13,807.9
2013-04-24,31.76,405.462,813.454
2013-04-25,31.94,408.38,809.1
2013-04-26,31.79,417.205,801.42
2013-04-29,32.61,430.12,819.06
2013-04-30,33.1,442.78,824.57
2013-05-01,32.72,439.29,820.43
2013-05-02,33.16,445.52,829.61
2013-05-03,33.49,449.98,845.72
2013-05-06,33.75,460.71,861.55
2013-05-07,33.31,458.658,857.23
2013-05-08,32.99,463.84,873.63
2013-05-09,32.66,456.77,871.48
2013-05-10,32.69,452.97,880.23
2013-05-13,33.03,454.74,877.53
2013-05-14,33.53,443.86,887.1
2013-05-15,33.845,428.85,915.89
2013-05-16,34.08,434.578,903.87
2013-05-17,34.87,433.26,909.18
2013-05-20,35.08,442.93,908.53
2013-05-21,34.85,439.66,906.97
2013-05-22,34.61,441.354,889.42
2013-05-23,34.15,442.14,882.79
2013-05-24,34.269,445.15,873.32
2013-05-28,35.02,441.439,881.27
2013-05-29,34.88,444.95,868.31
2013-05-30,35.03,451.58,870.76
2013-05-31,34.9,449.735,871.218
2013-06-03,35.59,450.72,867.63
2013-06-04,34.99,449.31,859.1
2013-06-05,34.78,445.11,859.7
2013-06-06,34.96,438.46,864.64
2013-06-07,35.67,441.811,879.73
2013-06-10,35.47,438.89,890.22
2013-06-11,34.84,437.6,879.81
2013-06-12,35.0,432.19,871.98
2013-06-13,34.715,435.965,877.0
2013-06-14,34.4,430.05,875.04
2013-06-17,35.0,432.0,886.25
2013-06-18,34.98,431.77,900.62
2013-06-19,34.59,423.0,900.68
2013-06-20,33.49,416.838,884.74
2013-06-21,33.265,413.5,880.93
2013-06-24,33.715,402.54,869.79
2013-06-25,33.67,402.63,866.2
2013-06-26,34.35,398.07,873.65
2013-06-27,34.62,393.78,877.07
2013-06-28,34.545,396.53,880.37
2013-07-01,34.36,409.22,887.88
2013-07-02,33.94,418.49,882.31
2013-07-03,34.01,420.8,886.43
2013-07-05,34.21,417.42,893.49
2013-07-08,34.325,415.05,905.09
2013-07-09,34.35,422.35,905.24
2013-07-10,34.7,420.73,905.99
2013-07-11,35.685,427.288,920.24
2013-07-12,35.67,426.51,923.0
2013-07-15,36.17,427.44,924.69
2013-07-16,36.27,430.195,919.608
2013-07-17,35.74,430.31,918.55
2013-07-18,35.44,431.758,910.68
2013-07-19,31.4,424.95,896.598
2013-07-22,32.01,426.31,910.7
2013-07-23,31.82,418.99,903.8
2013-07-24,31.96,440.51,902.9
2013-07-25,31.39,438.5,887.7
2013-07-26,31.62,440.99,885.35
2013-07-29,31.54,447.79,882.27
2013-07-30,31.85,453.32,890.92
2013-07-31,31.84,452.53,887.75
2013-08-01,31.67,456.676,904.22
2013-08-02,31.89,462.54,906.57
2013-08-05,31.7,469.45,905.0
2013-08-06,31.58,465.25,896.57
2013-08-07,32.063,464.98,890.65
2013-08-08,32.89,461.01,892.66
2013-08-09,32.7,454.45,890.41
2013-08-12,32.87,467.36,885.51
2013-08-13,32.23,489.57,881.25
2013-08-14,32.35,498.5,869.81
2013-08-15,31.79,497.91,859.66
2013-08-16,31.8,502.33,856.908
2013-08-19,31.393,507.74,865.65
2013-08-20,31.62,501.07,865.42
2013-08-21,31.61,502.36,869.33
2013-08-22,32.39,502.96,873.71
2013-08-23,34.75,501.02,870.21
2013-08-26,34.15,502.97,866.39
2013-08-27,33.26,488.59,850.15
2013-08-28,33.02,490.896,848.55
2013-08-29,33.55,491.7,855.43
2013-08-30,33.4,487.216,846.9
2013-09-03,31.88,488.58,860.38
2013-09-04,31.195,498.691,871.634
2013-09-05,31.235,495.27,879.56
2013-09-06,31.152,498.22,879.58
2013-09-09,31.655,506.17,888.054
2013-09-10,32.39,494.64,888.67
2013-09-11,32.74,467.71,896.19
2013-09-12,32.69,472.69,893.064
2013-09-13,33.03,464.9,889.068
2013-09-16,32.801,450.12,887.76
2013-09-17,32.93,455.32,886.11
