Datum;Schlusskurs;SMA
2020-01-14 00:00:00;162,13;156,8479
2020-01-13 00:00:00;163,28;156,4719
2020-01-10 00:00:00;161,34;155,9751
2020-01-09 00:00:00;162,09;155,4982
2020-01-08 00:00:00;160,09;154,9559
2020-01-07 00:00:00;157,58;154,524
2020-01-06 00:00:00;159,03;154,2356
2020-01-03 00:00:00;158,62;153,7853
2020-01-02 00:00:00;160,62;153,3514
2019-12-31 00:00:00;157,7;152,7919
2019-12-30 00:00:00;157,59;152,3886
2019-12-27 00:00:00;158,96;152,0814
2019-12-26 00:00:00;158,67;151,7529
2019-12-24 00:00:00;157,38;151,4243
2019-12-23 00:00:00;157,41;151,1201
2019-12-20 00:00:00;157,41;150,7332
2019-12-19 00:00:00;155,71;150,3408
2019-12-18 00:00:00;154,37;150,0395
2019-12-17 00:00:00;154,69;149,8173
2019-12-16 00:00:00;155,53;149,5768
2019-12-13 00:00:00;154,53;149,2766
2019-12-12 00:00:00;153,24;148,9316
2019-12-11 00:00:00;151,7;148,6134
2019-12-10 00:00:00;151,13;148,3596
2019-12-09 00:00:00;151,36;148,0867
2019-12-06 00:00:00;151,75;147,795
2019-12-05 00:00:00;149,93;147,4002
2019-12-04 00:00:00;149,85;147,0855
2019-12-03 00:00:00;149,31;146,7946
2019-12-02 00:00:00;149,55;146,5348
2019-11-29 00:00:00;151,38;146,2222
2019-11-27 00:00:00;152,32;145,8018
2019-11-26 00:00:00;152,03;145,396
2019-11-25 00:00:00;151,23;144,9169
2019-11-22 00:00:00;149,59;144,5443
2019-11-21 00:00:00;149,48;144,0823
2019-11-20 00:00:00;149,62;143,5868
2019-11-19 00:00:00;150,39;142,9512
2019-11-18 00:00:00;150,34;142,2599
2019-11-15 00:00:00;149,97;141,6727
2019-11-14 00:00:00;148,06;141,0534
2019-11-13 00:00:00;147,31;140,6407
2019-11-12 00:00:00;147,07;140,3004
2019-11-11 00:00:00;146,11;140,0292
2019-11-08 00:00:00;145,96;139,7058
